Year,Month,Wyld(mm),Runoff(mm),QDR(mm),RESQ(mm),PET(mm),ET(mm),SW(mm),Sed(t/ha),QN(kg/ha),QP(kg/ha),OrgN(kg/ha),OrgP(kg/ha),QDRN(kg/ha),QDRP(kg/ha),RSD(t/ha),SoilTmp(C)
1998,1,-999,105.1,-999,-999,-999,-999,-999,0.2728,-999,-999,-999,-999,-999,-999,-999,-999
1998,2,-999,15.3,-999,-999,-999,-999,-999,0.0354,-999,-999,-999,-999,-999,-999,-999,-999
1998,3,-999,12.63,-999,-999,-999,-999,-999,0.0289,-999,-999,-999,-999,-999,-999,-999,-999
1998,4,-999,0,-999,-999,-999,-999,-999,0,-999,-999,-999,-999,-999,-999,-999,-999
1998,5,-999,0,-999,-999,-999,-999,-999,0,-999,-999,-999,-999,-999,-999,-999,-999
1998,6,-999,0,-999,-999,-999,-999,-999,0,-999,-999,-999,-999,-999,-999,-999,-999
1998,7,-999,0,-999,-999,-999,-999,-999,0,-999,-999,-999,-999,-999,-999,-999,-999
1998,8,-999,0,-999,-999,-999,-999,-999,0,-999,-999,-999,-999,-999,-999,-999,-999
1998,9,-999,0,-999,-999,-999,-999,-999,0,-999,-999,-999,-999,-999,-999,-999,-999
1998,10,-999,39.48,-999,-999,-999,-999,-999,0.0572,-999,-999,-999,-999,-999,-999,-999,-999
1998,11,-999,17.67,-999,-999,-999,-999,-999,0.0123,-999,-999,-999,-999,-999,-999,-999,-999
1998,12,-999,32.61,-999,-999,-999,-999,-999,0.0273,-999,-999,-999,-999,-999,-999,-999,-999
1999,1,-999,10.07,-999,-999,-999,-999,-999,0,-999,-999,-999,-999,-999,-999,-999,-999
1999,2,-999,0.14,-999,-999,-999,-999,-999,0,-999,-999,-999,-999,-999,-999,-999,-999
1999,3,-999,0.12,-999,-999,-999,-999,-999,0,-999,-999,-999,-999,-999,-999,-999,-999
1999,4,-999,0.12,-999,-999,-999,-999,-999,0,-999,-999,-999,-999,-999,-999,-999,-999
1999,5,-999,0,-999,-999,-999,-999,-999,0,-999,-999,-999,-999,-999,-999,-999,-999
1999,6,-999,0,-999,-999,-999,-999,-999,0,-999,-999,-999,-999,-999,-999,-999,-999
1999,7,-999,0,-999,-999,-999,-999,-999,0,-999,-999,-999,-999,-999,-999,-999,-999
1999,8,-999,0,-999,-999,-999,-999,-999,0,-999,-999,-999,-999,-999,-999,-999,-999
1999,9,-999,0,-999,-999,-999,-999,-999,0,-999,-999,-999,-999,-999,-999,-999,-999
1999,10,-999,0,-999,-999,-999,-999,-999,0,-999,-999,-999,-999,-999,-999,-999,-999
1999,11,-999,0,-999,-999,-999,-999,-999,0,-999,-999,-999,-999,-999,-999,-999,-999
1999,12,-999,0,-999,-999,-999,-999,-999,0,-999,-999,-999,-999,-999,-999,-999,-999
2000,1,-999,0.04,-999,-999,-999,-999,-999,0,-999,-999,-999,-999,-999,-999,-999,-999
2000,2,-999,0,-999,-999,-999,-999,-999,0,-999,-999,-999,-999,-999,-999,-999,-999
2000,3,-999,0.78,-999,-999,-999,-999,-999,0,-999,-999,-999,-999,-999,-999,-999,-999
2000,4,-999,0.71,-999,-999,-999,-999,-999,0,-999,-999,-999,-999,-999,-999,-999,-999
2000,5,-999,6.2,-999,-999,-999,-999,-999,0.0137,-999,-999,-999,-999,-999,-999,-999,-999
2000,6,-999,5.26,-999,-999,-999,-999,-999,0,-999,-999,-999,-999,-999,-999,-999,-999
2000,7,-999,0,-999,-999,-999,-999,-999,0,-999,-999,-999,-999,-999,-999,-999,-999
2000,8,-999,0,-999,-999,-999,-999,-999,0,-999,-999,-999,-999,-999,-999,-999,-999
2000,9,-999,0,-999,-999,-999,-999,-999,0,-999,-999,-999,-999,-999,-999,-999,-999
2000,10,-999,0,-999,-999,-999,-999,-999,0,-999,-999,-999,-999,-999,-999,-999,-999
2000,11,-999,77.81,-999,-999,-999,-999,-999,0.5233,-999,-999,-999,-999,-999,-999,-999,-999
2000,12,-999,57.14,-999,-999,-999,-999,-999,0,-999,-999,-999,-999,-999,-999,-999,-999
2001,1,-999,51.95,-999,-999,-999,-999,-999,0.1298,-999,-999,-999,-999,-999,-999,-999,-999
2001,2,-999,20.76,-999,-999,-999,-999,-999,0.0294,-999,-999,-999,-999,-999,-999,-999,-999
2001,3,-999,53.9,-999,-999,-999,-999,-999,0.1027,-999,-999,-999,-999,-999,-999,-999,-999
2001,4,-999,0.02,-999,-999,-999,-999,-999,0,-999,-999,-999,-999,-999,-999,-999,-999
2001,5,-999,0,-999,-999,-999,-999,-999,0,-999,-999,-999,-999,-999,-999,-999,-999
2001,6,-999,0.58,-999,-999,-999,-999,-999,0,-999,-999,-999,-999,-999,-999,-999,-999
2001,7,-999,0,-999,-999,-999,-999,-999,0,-999,-999,-999,-999,-999,-999,-999,-999
2001,8,-999,29.15,-999,-999,-999,-999,-999,0.3199,-999,-999,-999,-999,-999,-999,-999,-999
2001,9,-999,11.1,-999,-999,-999,-999,-999,0.0675,-999,-999,-999,-999,-999,-999,-999,-999
2001,10,-999,7.6,-999,-999,-999,-999,-999,0.0235,-999,-999,-999,-999,-999,-999,-999,-999
2001,11,-999,19.69,-999,-999,-999,-999,-999,0.0523,-999,-999,-999,-999,-999,-999,-999,-999
2001,12,-999,113.7,-999,-999,-999,-999,-999,0.8109,-999,-999,-999,-999,-999,-999,-999,-999
2002,1,-999,1.06,-999,-999,-999,-999,-999,0,-999,-999,-999,-999,-999,-999,-999,-999
2002,2,-999,14.7,-999,-999,-999,-999,-999,0.0105,-999,-999,-999,-999,-999,-999,-999,-999
2002,3,-999,18.6,-999,-999,-999,-999,-999,0.2652,-999,-999,-999,-999,-999,-999,-999,-999
2002,4,-999,5.01,-999,-999,-999,-999,-999,0.0356,-999,-999,-999,-999,-999,-999,-999,-999
2002,5,-999,0.33,-999,-999,-999,-999,-999,0,-999,-999,-999,-999,-999,-999,-999,-999
2002,6,-999,0,-999,-999,-999,-999,-999,0,-999,-999,-999,-999,-999,-999,-999,-999
2002,7,-999,2.17,-999,-999,-999,-999,-999,0,-999,-999,-999,-999,-999,-999,-999,-999
2002,8,-999,0,-999,-999,-999,-999,-999,0,-999,-999,-999,-999,-999,-999,-999,-999
2002,9,-999,0,-999,-999,-999,-999,-999,0,-999,-999,-999,-999,-999,-999,-999,-999
2002,10,-999,59.18,-999,-999,-999,-999,-999,0.1491,-999,-999,-999,-999,-999,-999,-999,-999
2002,11,-999,10.96,-999,-999,-999,-999,-999,0.0042,-999,-999,-999,-999,-999,-999,-999,-999
2002,12,-999,91.51,-999,-999,-999,-999,-999,0.2185,-999,-999,-999,-999,-999,-999,-999,-999
2003,1,-999,1.63,-999,-999,-999,-999,-999,0,-999,-999,-999,-999,-999,-999,-999,-999
2003,2,-999,71.05,-999,-999,-999,-999,-999,0.061,-999,-999,-999,-999,-999,-999,-999,-999
2003,3,-999,24.71,-999,-999,-999,-999,-999,0.0493,-999,-999,-999,-999,-999,-999,-999,-999
2003,4,-999,0,-999,-999,-999,-999,-999,0,-999,-999,-999,-999,-999,-999,-999,-999
2003,5,-999,0.64,-999,-999,-999,-999,-999,0,-999,-999,-999,-999,-999,-999,-999,-999
2003,6,-999,1.07,-999,-999,-999,-999,-999,0,-999,-999,-999,-999,-999,-999,-999,-999
2003,7,-999,0,-999,-999,-999,-999,-999,0,-999,-999,-999,-999,-999,-999,-999,-999
2003,8,-999,0,-999,-999,-999,-999,-999,0,-999,-999,-999,-999,-999,-999,-999,-999
2003,9,-999,0,-999,-999,-999,-999,-999,0,-999,-999,-999,-999,-999,-999,-999,-999
2003,10,-999,18.31,-999,-999,-999,-999,-999,0.047,-999,-999,-999,-999,-999,-999,-999,-999
2003,11,-999,0,-999,-999,-999,-999,-999,0,-999,-999,-999,-999,-999,-999,-999,-999
2003,12,-999,0,-999,-999,-999,-999,-999,0,-999,-999,-999,-999,-999,-999,-999,-999
2004,1,-999,1.27,-999,-999,-999,-999,-999,0,-999,-999,-999,-999,-999,-999,-999,-999
2004,2,-999,17.23,-999,-999,-999,-999,-999,0.0056,-999,-999,-999,-999,-999,-999,-999,-999
2004,3,-999,3.77,-999,-999,-999,-999,-999,0.0074,-999,-999,-999,-999,-999,-999,-999,-999
2004,4,-999,15.2,-999,-999,-999,-999,-999,0.0052,-999,-999,-999,-999,-999,-999,-999,-999
2004,5,-999,3.96,-999,-999,-999,-999,-999,0,-999,-999,-999,-999,-999,-999,-999,-999
2004,6,-999,190.1,-999,-999,-999,-999,-999,0.0991,-999,-999,-999,-999,-999,-999,-999,-999
2004,7,-999,1.32,-999,-999,-999,-999,-999,0,-999,-999,-999,-999,-999,-999,-999,-999
2004,8,-999,0,-999,-999,-999,-999,-999,0,-999,-999,-999,-999,-999,-999,-999,-999
2004,9,-999,0,-999,-999,-999,-999,-999,0,-999,-999,-999,-999,-999,-999,-999,-999
2004,10,-999,53.74,-999,-999,-999,-999,-999,0.2822,-999,-999,-999,-999,-999,-999,-999,-999
2004,11,-999,168.1,-999,-999,-999,-999,-999,0.306,-999,-999,-999,-999,-999,-999,-999,-999
2004,12,-999,6.38,-999,-999,-999,-999,-999,0.0022,-999,-999,-999,-999,-999,-999,-999,-999
2005,1,-999,13.33,-999,-999,-999,-999,-999,0,-999,-999,-999,-999,-999,-999,-999,-999
2005,2,-999,36.32,-999,-999,-999,-999,-999,0.0336,-999,-999,-999,-999,-999,-999,-999,-999
2005,3,-999,8.76,-999,-999,-999,-999,-999,0.0036,-999,-999,-999,-999,-999,-999,-999,-999
2005,4,-999,0,-999,-999,-999,-999,-999,0,-999,-999,-999,-999,-999,-999,-999,-999
2005,5,-999,0,-999,-999,-999,-999,-999,0,-999,-999,-999,-999,-999,-999,-999,-999
2005,6,-999,0,-999,-999,-999,-999,-999,0,-999,-999,-999,-999,-999,-999,-999,-999
2005,7,-999,0,-999,-999,-999,-999,-999,0,-999,-999,-999,-999,-999,-999,-999,-999
2005,8,-999,68.88,-999,-999,-999,-999,-999,0.35,-999,-999,-999,-999,-999,-999,-999,-999
2005,9,-999,0,-999,-999,-999,-999,-999,0,-999,-999,-999,-999,-999,-999,-999,-999
2005,10,-999,0,-999,-999,-999,-999,-999,0,-999,-999,-999,-999,-999,-999,-999,-999
2005,11,-999,0,-999,-999,-999,-999,-999,0,-999,-999,-999,-999,-999,-999,-999,-999
2005,12,-999,0,-999,-999,-999,-999,-999,0,-999,-999,-999,-999,-999,-999,-999,-999
2006,1,-999,0,-999,-999,-999,-999,-999,0,-999,-999,-999,-999,-999,-999,-999,-999
2006,2,-999,0,-999,-999,-999,-999,-999,0,-999,-999,-999,-999,-999,-999,-999,-999
2006,3,-999,10.94,-999,-999,-999,-999,-999,0.0179,-999,-999,-999,-999,-999,-999,-999,-999
2006,4,-999,0,-999,-999,-999,-999,-999,0,-999,-999,-999,-999,-999,-999,-999,-999
2006,5,-999,28.06,-999,-999,-999,-999,-999,0.0963,-999,-999,-999,-999,-999,-999,-999,-999
2006,6,-999,0,-999,-999,-999,-999,-999,0,-999,-999,-999,-999,-999,-999,-999,-999
2006,7,-999,1.77,-999,-999,-999,-999,-999,0,-999,-999,-999,-999,-999,-999,-999,-999
2006,8,-999,0,-999,-999,-999,-999,-999,0,-999,-999,-999,-999,-999,-999,-999,-999
2006,9,-999,0,-999,-999,-999,-999,-999,0,-999,-999,-999,-999,-999,-999,-999,-999
2006,10,-999,0,-999,-999,-999,-999,-999,0,-999,-999,-999,-999,-999,-999,-999,-999
2006,11,-999,0,-999,-999,-999,-999,-999,0,-999,-999,-999,-999,-999,-999,-999,-999
2006,12,-999,0,-999,-999,-999,-999,-999,0,-999,-999,-999,-999,-999,-999,-999,-999
2007,1,-999,105.5,-999,-999,-999,-999,-999,0.1015,-999,-999,-999,-999,-999,-999,-999,-999
2007,2,-999,0,-999,-999,-999,-999,-999,0,-999,-999,-999,-999,-999,-999,-999,-999
2007,3,-999,106.8,-999,-999,-999,-999,-999,0.0571,-999,-999,-999,-999,-999,-999,-999,-999
2007,4,-999,0.5,-999,-999,-999,-999,-999,0,-999,-999,-999,-999,-999,-999,-999,-999
2007,5,-999,159.9,-999,-999,-999,-999,-999,0.0765,-999,-999,-999,-999,-999,-999,-999,-999
2007,6,-999,68.45,-999,-999,-999,-999,-999,0.0271,-999,-999,-999,-999,-999,-999,-999,-999
2007,7,-999,73.99,-999,-999,-999,-999,-999,0.0433,-999,-999,-999,-999,-999,-999,-999,-999
2007,8,-999,0.02,-999,-999,-999,-999,-999,0,-999,-999,-999,-999,-999,-999,-999,-999
2007,9,-999,0,-999,-999,-999,-999,-999,0,-999,-999,-999,-999,-999,-999,-999,-999
2007,10,-999,0,-999,-999,-999,-999,-999,0,-999,-999,-999,-999,-999,-999,-999,-999
2007,11,-999,0.16,-999,-999,-999,-999,-999,0,-999,-999,-999,-999,-999,-999,-999,-999
2007,12,-999,1.33,-999,-999,-999,-999,-999,0,-999,-999,-999,-999,-999,-999,-999,-999
